date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-06-26,GHCND:USW00014764,31,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",198,"H,,S,",244,",,W,2400",144,",,W,2400",310,",,W,",280,",,W,",72,",,W,",98,",,W,",,,,,,,,
2017-06-27,GHCND:USW00014764,27,",,W,",51,",,W,2400",0,",,W,",0,",,W,2400",176,"H,,S,",233,",,W,2400",133,",,W,2400",220,",,W,",170,",,W,",72,",,W,",98,",,W,",1,",,W,",,,1,",,W,",,
2017-06-28,GHCND:USW00014764,30,",,W,",15,",,W,2400",0,",,W,",0,",,W,2400",170,"H,,S,",244,",,W,2400",100,",,W,2400",290,",,W,",300,",,W,",81,",,W,",116,",,W,",,,,,1,",,W,",,
2017-06-29,GHCND:USW00014764,19,",,W,",43,",,W,2400",0,",,W,",0,",,W,2400",178,"H,,S,",233,",,W,2400",111,",,W,2400",240,",,W,",240,",,W,",76,",,W,",148,",,W,",1,",,W,",,,,,,
2017-06-30,GHCND:USW00014764,22,",,W,",94,",,W,2400",0,",,W,",0,",,W,2400",186,"H,,S,",244,",,W,2400",156,",,W,2400",10,",,W,",90,",,W,",76,",,W,",94,",,W,",1,",,W,",,,1,",,W,",,
2017-07-01,GHCND:USW00014764,34,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",210,"H,,S,",261,",,W,2400",178,",,W,2400",180,",,W,",180,",,W,",103,",,W,",148,",,W,",1,",,W,",1,",,W,",,,,
2017-07-02,GHCND:USW00014764,40,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",239,"H,,S,",306,",,W,2400",183,",,W,2400",280,",,W,",290,",,W,",94,",,W,",130,",,W,",1,",,W,",,,,,,
2017-07-03,GHCND:USW00014764,42,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",246,"H,,S,",289,",,W,2400",161,",,W,2400",280,",,W,",280,",,W,",81,",,W,",116,",,W,",,,,,,,,
2017-07-04,GHCND:USW00014764,31,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",220,"H,,S,",278,",,W,2400",139,",,W,2400",320,",,W,",310,",,W,",76,",,W,",107,",,W,",,,,,,,,
2017-07-05,GHCND:USW00014764,27,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",207,"H,,S,",278,",,W,2400",122,",,W,2400",190,",,W,",200,",,W,",76,",,W,",98,",,W,",,,,,,,,
2017-07-06,GHCND:USW00014764,38,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",198,"H,,S,",233,",,W,2400",150,",,W,2400",180,",,W,",180,",,W,",89,",,W,",130,",,W,",,,,,,,,
